,id,budget,popularity,runtime,revenue,has_collection,log_revenue,release_year,director_success,producer_success,actor1_success,actor2_success,log_budget,Drama,Adventure,Fantasy,Western,Thriller,Animation,Action,Mystery,Foreign,Science Fiction,Documentary,Family,adjusted_budget
0,1,14000000,6.575392999999999,93.0,12314651,1,16.326300330915824,2015,50693318.333333336,32768606.0,0.0,0.0,16.454567959008102,0,0,0,0,0,0,0,0,0,0,0,0,14000000.0
1,2,40000000,8.248895,113.0,95149435,1,18.370959224205944,2004,113872991.6,0.0,70756975.25,81240154.125,17.50439003707821,1,0,0,0,0,0,0,0,0,0,0,1,40000000.0
2,3,3300000,64.29999000000001,105.0,13092000,0,16.38751199098573,2014,445435700.0,75496355.0,12021071.0,4710273.0,15.009433329466965,1,0,0,0,0,0,0,0,0,0,0,0,3300000.0
3,4,1200000,3.174936,122.0,16000000,0,16.588099342704055,2012,0.0,0.0,11000000.0,11480000.0,13.997832948091215,1,0,0,0,1,0,0,0,0,0,0,0,1200000.0
4,5,0,1.1480700000000001,118.0,3923970,0,15.18261470922214,2009,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,480672.0999999994
5,6,8000000,0.743274,83.0,3261638,0,14.997740387737252,1987,0.0,0.0,0.0,0.0,15.894952224644102,0,1,0,0,0,1,0,0,0,0,0,1,8000000.0
6,7,14000000,7.2864770000000005,92.0,85446075,0,18.263396044879872,2012,1179002.0,0.0,7860000.0,0.0,16.454567959008102,0,0,0,0,1,0,0,0,0,0,0,0,14000000.0
7,8,0,1.9490439999999998,84.0,2586511,0,14.765820807889137,2004,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,480672.0999999994
8,9,0,6.902423,100.0,34327391,1,17.351454194007484,1996,0.0,0.0,72801606.5,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,480672.0999999994
9,10,6000000,4.672036,91.0,18750246,0,16.74671748362726,2003,0.0,4736202.0,0.0,4736202.0,15.607270193858982,0,0,0,0,0,0,0,0,0,0,0,0,6000000.0
10,11,1000000,14.774066,119.0,117235147,1,18.57969228775781,1976,0.0,1600000.0,16057580.0,0.0,13.815511557963774,1,0,0,0,0,0,0,0,0,0,0,0,1000000.0
11,12,0,10.54375,98.0,22642033,1,16.935318648253194,1987,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
12,13,15000000,20.726578,122.0,356296601,0,19.691274093623488,1999,1108561013.0,122417389.0,37027240.666666664,57109437.5,16.52356082573315,1,0,0,0,0,0,0,0,0,0,0,0,15000000.0
13,14,53000000,13.314232999999998,118.0,95226116,1,18.371764800373036,2005,265753596.85714287,124914842.0,66943318.23809524,64010195.333333336,17.78580249038432,0,0,0,0,0,0,0,0,0,0,0,0,53000000.0
14,15,102000000,20.666063,145.0,358372926,0,19.69708469770741,2002,288185630.25,164508066.0,125693265.95,205293485.4,18.440483381052466,0,0,0,0,1,0,1,1,0,1,0,0,102000000.0
15,16,500000,1.018477,97.0,198,0,5.293304824724492,2010,0.0,0.0,0.0,0.0,13.122365377402328,1,0,0,0,0,0,1,0,0,0,0,0,500000.0
16,17,26000000,6.336926999999999,85.0,57891803,0,17.87408637811931,2005,34469647.222222224,32020286.0,63390831.2,57368844.0,17.073607134447293,0,0,0,0,1,0,0,0,0,0,0,0,26000000.0
17,18,0,4.1835580000000006,111.0,1234254,0,14.025978107156048,2013,1072602.0,0.0,77466777.44444445,528903365.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
18,19,8000000,6.496258999999999,96.0,1749457,0,14.374816583642607,2011,40105542.0,0.0,1056057273.0,0.0,15.894952224644102,0,0,0,0,0,0,0,0,0,0,0,0,8000000.0
19,20,32000000,11.359658999999999,87.0,85167639,1,18.260132107446047,2005,47400022.5,17805832.583333332,180172954.5,45236543.0,17.281246492014,0,0,0,0,1,0,1,0,0,0,0,0,32000000.0
20,21,80000000,12.000579,130.0,136159423,0,18.729336992463118,1998,23580486.75,0.0,118457103.8,23624754.25,18.197537205138154,0,1,0,0,0,0,0,0,0,1,0,1,80000000.0
21,22,4000000,7.99229,95.0,36690067,1,17.418016649695787,1982,21722776.0,0.0,0.0,0.0,15.201805169084134,0,0,0,0,1,0,0,0,0,0,0,0,4000000.0
22,23,0,7.820786999999999,116.0,100345,1,11.516379492941743,2012,7173500.0,2756.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,480672.0999999994
23,24,0,1.323333,92.0,17011,0,9.741674256373525,2011,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,1,0,0,0,480672.0999999994
24,25,0,7.434577,87.0,4947717,0,15.414437018146035,2006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
25,26,0,1.252367,95.0,8403433,0,15.944150989797505,1992,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,480672.0999999994
26,27,10000000,4.305734999999999,110.0,13835130,0,16.44272163989704,1997,3607681.3333333335,0.0,42610906.916666664,0.0,16.118095750958314,1,0,0,0,1,0,0,1,0,0,0,0,10000000.0
27,28,11000000,10.841891,93.0,7847000,0,15.87564197854684,2013,4510883.666666667,0.0,573007436.5555556,32715929.5,16.213405921671733,1,0,0,0,0,0,0,0,0,0,0,0,11000000.0
28,29,6000000,6.759181,84.0,5849647,0,15.581892046457524,1986,0.0,0.0,0.0,0.0,15.607270193858982,0,0,0,0,0,1,0,0,0,0,0,0,6000000.0
29,30,45000000,7.81862,89.0,94935764,0,18.36871106297223,2002,211337429.0,112256402.125,103173598.75,88402649.66666667,17.622173069956816,0,1,0,0,1,0,1,0,0,0,0,0,45000000.0
30,31,13000000,16.086919,112.0,426480871,0,19.871078075121222,2011,151530.0,0.0,0.0,5294065.0,16.380459992348886,1,0,0,0,0,0,0,0,0,0,0,0,13000000.0
31,32,0,5.69586,117.0,36000000,0,17.399029524198163,2005,4948308.5,0.0,1666511.0,22241520.777777776,0.0,1,0,0,0,1,0,0,1,0,0,0,0,480672.0999999994
32,33,90000000,13.412445000000002,106.0,146936910,0,18.80551387574951,2015,59634743.0,27259882.0,221173358.35714287,9318.0,18.31532023940565,0,1,1,0,0,0,1,0,0,0,0,0,90000000.0
33,34,0,8.254856,125.0,7171,1,8.877939834725023,2014,0.0,0.0,0.0,32846.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
34,35,140000000,9.718111,91.0,258022233,1,19.36855631746733,2007,271164003.6,114010190.42857143,206642861.33333334,59239808.64285714,18.757152987716434,0,0,0,0,1,0,1,0,0,0,0,0,140000000.0
35,36,30000000,8.234382,94.0,40346186,0,17.513007450073736,2012,54712888.0,70291617.5,125332787.29411764,17279730.25,17.216707972959764,0,0,0,0,1,0,1,0,0,0,0,0,30000000.0
36,37,0,2.100499,105.0,151559,0,11.928736865132537,2000,0.0,0.0,67883718.2,43935763.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
37,38,50000000,13.676444,127.0,189859560,0,19.061795204185188,1995,55242604.5,368875760.0,33443703.222222224,92745529.0,17.72753358339242,1,0,0,0,1,0,1,0,0,1,0,0,50000000.0
38,39,0,0.32926,90.0,92100,0,11.430641079947755,2013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,480672.0999999994
39,40,3800000,3.055936,123.0,14873,0,9.607370001263245,1965,0.0,0.0,93200000.0,0.0,15.150511887854474,0,0,0,1,0,0,0,0,0,0,0,0,3800000.0
40,41,0,2.941626,118.0,163000,1,12.001511614739405,2006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,480672.0999999994
41,42,3000000,9.718713000000001,126.0,16217773,0,16.601618359255742,1967,0.0,0.0,9800000.0,0.0,14.914123179965662,1,0,0,0,0,0,0,0,0,0,0,0,3000000.0
42,43,25000000,2.9719990000000003,108.0,24362772,0,17.008566828481705,2000,19363090.4,0.0,45430193.5,1244381.0,17.034386422832473,0,0,0,0,0,0,0,0,0,0,0,0,25000000.0
43,44,6000000,9.383088,92.0,1020921,0,13.836216698538003,2014,12808181.25,0.0,71657577.03125,46392284.333333336,15.607270193858982,1,0,0,0,0,0,0,0,0,0,0,0,6000000.0
44,45,15000000,5.615303,88.0,47175038,0,17.66937547592761,2005,0.0,0.0,0.0,99804038.0,16.52356082573315,0,0,0,0,0,0,0,0,0,0,0,0,15000000.0
45,46,3906840,2.382068,95.0,4300000,0,15.274125813221904,2009,0.0,0.0,0.0,0.0,15.178239677022763,1,0,0,0,1,0,0,1,0,0,0,0,3906840.0
46,47,80000000,16.646029000000002,91.0,660940780,1,20.309174803787407,2006,260696994.0,383257136.0,191628568.0,84612626.8,18.197537205138154,0,1,0,0,0,1,0,0,0,0,0,1,80000000.0
